Ancestral Linguistics,,Common,at least 100 years old
Ancestral Longevity,,Common,at least 100 years old
Demonbane Warrior,,Common,None
Elemental Wrath,,Common,None
Elven Aloofness,,Common,None
Elven Lore,,Common,None
Elven Verve,,Common,None
Elven Weapon Familiarity,,Common,None
Forlorn,,Common,None
Know Your Own,,Common,None
Nimble Elf,,Common,None
Otherworldly Magic,,Common,None
Share Thoughts,,Common,"Mualijae ethnicity, Ilverani ethnicity, or Vourinoi ethnicity"
Unwavering Mien,,Common,None
Woodcraft,,Common,None
Wildborn Magic,,Uncommon,None
